Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,HRA,Asbestos Work,B1106,09/08/2016,60058988 - 0,528.75,Revenue,20002680,OXFORD SAFETY SUPPLIES
OCC,HRA,Asbestos Work,B1106,27/09/2016,60061385 - 0,1231,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
OCC,HRA,Asbestos Work,B1106,27/09/2016,60061386 - 1,1273,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1027808 - 1,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1028960 - 0,825,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029248 - 0,2136.25,Revenue,20010153,CIVICA UK LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029271 - 0,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029272 - 0,852,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029273 - 0,896,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029274 - 0,781.25,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029275 - 0,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Court Fees,D3416,05/07/2016,1029305 - 1,28.57,Revenue,20012263,BRISTOW & SUTOR
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029378 - 0,962,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029379 - 0,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,General Contracted Services,D3401,05/07/2016,1029393 - 0,1836.45,Revenue,20010153,CIVICA UK LTD
OCC,Financial Services,Consultants Fees,D3411,12/07/2016,1029401 - 0,1600,Revenue,20002820,BADENOCH & CLARK LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,05/07/2016,1029416 - 0,962.5,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029443 - 0,1225,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Consultants Fees,D3411,12/07/2016,1029476 - 0,1600,Revenue,20002820,BADENOCH & CLARK LTD
OCC,Financial Services,Staff Advertising,A0702,05/07/2016,1029481 - 0,554,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Financial Services,Court Fees,D3416,12/07/2016,1029491 - 1,28.74,Revenue,20012263,BRISTOW & SUTOR
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029506 - 0,900,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029507 - 0,962,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029512 - 0,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029513 - 0,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029514 - 0,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029515 - 0,962.5,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Temporary Bureau Staffing,A0108,12/07/2016,1029516 - 0,925,Revenue,20018821,EDEN BROWN LTD
OCC,Financial Services,Consultants Fees,D3411,05/07/2016,1029569 - 0,2400,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
